0.658109,0.150346,0.733282
0.026489,0.128719,0.090849
0.017484,0.122017,0.078493
0.014369,0.119060,0.073898
0.013812,0.117936,0.072780
0.012834,0.117911,0.071789
0.012775,0.117647,0.071599
0.012723,0.117686,0.071566
0.012788,0.119499,0.072538
0.012545,0.118966,0.072028
0.012552,0.118312,0.071707
0.012530,0.118846,0.071954
0.012439,0.118854,0.071866
0.012426,0.118166,0.071509
0.012237,0.118816,0.071645
0.012586,0.118773,0.071972
0.012534,0.119147,0.072107
0.012393,0.118621,0.071704
0.012540,0.117853,0.071467
0.012384,0.118344,0.071556
